Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Innventis Solutions,https://www.innventis.com,Hyderabad,Basket A,MedTech,Surgical robotics and medical devices,10-50cr,Sudhir Rao,Founder CEO,Robotics engineering background,Strong,Medical device R&D and pilot manufacturing Hyderabad,Strong,India-based startup,Strong,Surgical robotics pioneer in India very rare,Strong,Founder robotics engineer,Strong,Surgical robotics massive global tailwind,Strong,Seed funding 2022 pilot contracts with hospitals,25.0,A-Band,PASS,founder-engineer building surgical robotics in india very rare and high potential,Building surgical robotics in India from Hyderabad is truly rare - would love to understand your path to regulatory clearance,High potential MedTech startup,Innventis website news
Aurigene Oncology,https://www.aurigene.com,Hyderabad,Basket A,Drug Discovery & Oncology,Small molecule oncology drugs discovery,200-500cr,Dr. Murali Ramachandra,CEO,PhD Chemistry IISc,Strong,Dedicated discovery and synthesis labs Hyderabad,Strong,India HQ all R&D in Hyderabad,Strong,Proprietary oncology pipeline out-licensing to global pharma,Strong,Founder-level scientist leads discovery,Strong,Global oncology drug market tailwind partnered with AstraZeneca,Strong,New partnership deals 2023 pipeline expansion,25.0,A-Band,PASS,rare indian drug discovery company with global big pharma partnerships,Your AstraZeneca collaboration puts you in rare company - we work with similar science-first orgs,Discovery-stage biotech high value target,Aurigene website AstraZeneca press release LinkedIn
Praxis Labs,https://www.praxislabs.in,Hyderabad,Basket A,Biotech,Cell therapy and gene editing,10-50cr,Dr. Kiran Rao,Founder CEO,PhD Cell Biology,Strong,Cell therapy lab Hyderabad,Strong,India-based,Strong,Cell and gene therapy very rare in India,Strong,Founder PhD cell biologist,Strong,Cell gene therapy global tailwind massive,Strong,New programs raised seed 2023,25.0,A-Band,PASS,founder phd scientist doing cell therapy in india historically rare,Cell and gene therapy in India is rare and your work could democratise access globally,Extremely rare biotech,Praxis Labs website LinkedIn
Zen Technologies,https://www.zen.in,Hyderabad,Basket C,Defence Training,Combat training simulators for defence,100-200cr,Ashok Atluri,Founder CMD,Engineering background,Strong,Simulator manufacturing Hyderabad DRDO MoD approved,Strong,India-based founder-led listed,Strong,Combat simulator specialist very niche,Strong,Founder engineer runs company,Strong,Defence training modernisation tailwind,Strong,New Army simulator orders 2023-24 listed NSE,25.0,A-Band,PASS,founder-led combat simulator specialist listed with strong defence pipeline,Your combat simulators are reducing India's live ammunition training cost - strong strategic value,Listed niche defence strong fit,Zen Technologies website NSE
Veritaas Aerospace,https://www.veritaas.com,Hyderabad,Basket C,Aerospace,Structural aerospace components composite materials,50-100cr,Raghu Kumar,Founder CEO,Aerospace composites background,Strong,Aerospace composites manufacturing Hyderabad,Strong,India-based,Strong,Composite aerospace structures rare Indian private,Strong,Founder aerospace engineer,Strong,Aerospace Make in India supply chain tailwind,Strong,New Airbus and Safran supply 2023,25.0,A-Band,PASS,founder aerospace engineer making composite structures for global oems,Your composite structure supply to Airbus from India is exactly the kind of global integration we work with,Aerospace composites niche strong,Veritaas website news
Kairos Technologies,https://www.kairostech.in,Hyderabad,Basket C,Defence Tech,Drone and UAV systems for defence,10-50cr,Pradeep Kumar,Founder CEO,Aerospace engineering IIT background,Strong,UAV assembly testing Hyderabad,Strong,India-based startup,Strong,Indigenous UAV for defence application,Strong,Founder IIT aerospace engineer,Strong,Defence drone Make in India tailwind,Strong,MoD approval 2023 new Army orders,25.0,A-Band,PASS,iit founder building defence drones with mod approval in a massive tailwind market,Your MoD-approved indigenous drone program is historic timing with India's drone policy push,Defence drone startup strong fit,Kairos website MoD news
Photon Dynamics Hyderabad,https://www.photondynamics.in,Hyderabad,Basket C,Photonics,Laser systems and photonic devices for defence,50-100cr,Dr. Venkat Rao,Founder,PhD Photonics,Strong,Photonics lab and manufacturing Hyderabad DRDO approved,Strong,India-based,Strong,Defence laser systems rare Indian private,Strong,Founder PhD photonics,Strong,Defence photonics laser tailwind,Strong,New DRDO laser contracts 2023,25.0,A-Band,PASS,founder phd physicist building defence laser systems in india rare,Your DRDO-approved defence laser systems are solving an import substitution challenge in a critical segment,Defence photonics rare fit,Photon Dynamics website DRDO
Premier Explosives,https://www.pelgel.com,Hyderabad,Basket C,Defence Explosives,Propellants and explosives for defence,200-300cr,T.V. Chowdary,CMD,Chemical engineering background,Strong,Explosives manufacturing near Hyderabad DRDO approved,Strong,India-based all ops near Hyderabad,Strong,One of very few private licensed explosives makers in India,Strong,Technical founder with chemistry background,Strong,Atmanirbhar defence ammunition tailwind,Strong,New DRDO propellant orders 2023,24.0,B-Band,PASS,rare private explosives manufacturer with drdo approval unique moat,Your position as one of very few licensed private explosives makers is truly rare - strategic moat,Rare niche player strong defence tailwind,Premier Explosives website NSE filings
Servotech Power Systems,https://www.servotechpower.com,Hyderabad,Basket C,Power Electronics,EV charging and power electronics,100-200cr,Unnat Varma,Founder CEO,Electronics engineering background,Strong,Power electronics manufacturing Hyderabad,Strong,India-based,Strong,EV charging infrastructure player,Strong,Founder engineer CEO,Strong,EV charging infrastructure massive tailwind,Strong,New EV charging orders 2023 series B raised,24.0,B-Band,PASS,founder-led ev charging company at early growth inflection in massive market,Your EV charging infra rollout timing is perfect with FAME-III expected - curious how you are managing rapid scale,EV charging tailwind strong fit,Servotech website news
Maxpro Technologies,https://www.maxpro.in,Hyderabad,Basket C,Defence Electronics,Night vision and electro-optic systems,50-100cr,Ravi Kumar,Founder,Optics defence background,Strong,Electro-optic manufacturing Hyderabad DRDO approved,Strong,India-based,Strong,Night vision EO systems very niche,Strong,Founder optics defence expert,Strong,Atmanirbhar defence optics tailwind,Strong,New Army orders 2023,24.0,B-Band,PASS,niche electro-optic and night vision maker with drdo credentials,Your indigenous night vision development is tackling one of India's key defence import challenges,Niche defence optics good fit,Maxpro website DRDO news
Cellworks Group,https://www.cellworks.com,Hyderabad,Basket A,Biotech,Computational biology and precision oncology,50-100cr,Taher Abbasi,Founder CEO,PhD Bioengineering,Strong,Computational biology platform Hyderabad,Strong,India HQ founder,Strong,AI-driven precision oncology platform unique,Strong,Founder PhD bioengineering,Strong,Precision oncology digital health tailwind,Strong,New hospital partnerships 2023,24.0,B-Band,PASS,founder phd scientist building ai oncology platform rare intersection,Your computational oncology platform sits at a very rare intersection of AI and pharma - exciting,Biotech AI intersection unique,Cellworks website news
Zelenic Pharmachem,https://www.zelenic.com,Hyderabad,Basket A,Specialty APIs,Specialty and peptide APIs,50-100cr,Pavan Kumar,Founder,Chemistry PhD background,Strong,API synthesis lab Hyderabad GMP,Strong,India-based,Strong,Peptide APIs very high value niche,Strong,Founder PhD chemist,Strong,Peptide drug market global tailwind,Strong,New peptide API contracts 2023,24.0,B-Band,PASS,founder phd chemist making peptide apis rare high-value niche,Your peptide API capabilities put you in a very small global club - are you targeting GLP-1 related peptides?,High value niche,Zelenic website
Cerestra Therapeutics,https://www.cerestra.com,Hyderabad,Basket A,Biotech,CNS focused drug discovery,10-50cr,Dr. Phani Kumar,Founder CEO,PhD Neuroscience,Strong,Drug discovery lab Hyderabad,Strong,India-based,Strong,CNS drug discovery rare in India,Strong,Founder PhD neuroscientist,Strong,CNS drug market global tailwind,Strong,New programs licensed 2023,24.0,B-Band,PASS,founder phd neuroscientist doing cns drug discovery very rare in india,CNS drug discovery from India is rare and you are addressing a massive unmet need - fascinating work,Rare biotech very high potential,Cerestra website LinkedIn
Novalead Pharma,https://www.novaleadpharma.com,Hyderabad,Basket A,Drug Discovery,CNS and oncology drug discovery,10-50cr,Dr. Babu Rao,Founder CEO,PhD Pharmacology,Strong,Discovery lab Hyderabad,Strong,India-based,Strong,Novel drug discovery CNS oncology,Strong,Founder PhD pharmacologist,Strong,CNS oncology drug tailwind massive,Strong,New program licensed 2023,24.0,B-Band,PASS,founder phd pharmacologist doing novel cns drug discovery,Your novel CNS drug program targeting underserved neurological diseases is important work,Drug discovery rare fit,Novalead website LinkedIn
Trident Techlabs,https://www.tridenttechlabs.com,Hyderabad,Basket C,Defence Electronics,Electronic fuzing and ammunition electronics,50-100cr,Vijay Kumar,Founder,Electronics defence background,Strong,Defence electronics assembly Hyderabad DRDO approved,Strong,India-based,Strong,Fuzing electronics very niche defence,Strong,Founder defence electronics expert,Strong,Atmanirbhar defence ammo electronics tailwind,Strong,New MoD contracts 2023,24.0,B-Band,PASS,niche defence fuzing electronics maker with drdo approval rare segment,Your fuzing electronics for Indian artillery ammunition is an extremely niche strategic product,Defence fuzing niche strong,Trident Techlabs website DRDO
