Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Innova Captab,https://www.innovacaptab.com,Hyderabad,Basket B,Contract Pharma,Contract manufacturing tablets capsules,200-300cr,Vinay Loona,Founder CMD,Pharma manufacturing background,Strong,CDMO pharma plant Hyderabad GMP,Strong,India HQ founder,Strong,Specialised CDMO for domestic and export pharma,Strong,Founder with manufacturing expertise,Moderate,Domestic pharma outsourcing tailwind,Strong,New capacity expansion 2023 new client wins,22.0,B-Band,PASS,founder-led pharma cdmo with capacity expansion,Your focus on CDMO for regulated markets is smart - are you targeting any US/EU clients?,Pharma CDMO decent fit,Innova Captab website
Vijaya Diagnostic Centre,https://www.vijayadiagnostic.com,Hyderabad,Basket D,Diagnostics,Diagnostic imaging and lab services,200-300cr,S. Surendranath Reddy,Founder,Radiology background,Weak,Healthcare services not manufacturer,Strong,India HQ Hyderabad,Weak,Services not manufacturing,Weak,Medical services background,Moderate,Healthcare diagnostics tailwind,Moderate,Moderate growth listed 2021,10.0,D-Band,REJECT,diagnostics service company not a manufacturer outside icp,Healthcare services not a manufacturer - outside ICP,Not relevant,Vijaya Diagnostic website
Tresara Health,https://www.tresarahealth.com,Hyderabad,Basket A,Specialty Pharma,Oncology drugs and biosimilars,100-200cr,Srikant Sreenivas,CEO,Pharma background,Strong,Specialty pharma manufacturing Hyderabad,Strong,India-based,Strong,Oncology and biosimilar focus niche,Strong,Professional CEO pharma background,Strong,Biosimilar oncology global tailwind,Strong,New biosimilar launches 2023,23.0,B-Band,PASS,growing oncology biosimilar company with strong pipeline,Your biosimilar oncology pipeline is entering a massive global market - curious about your CMO partnerships,Oncology biosimilar niche,Tresara website news
Innovative Tech Pack,https://www.itpack.in,Hyderabad,Basket B,Packaging,Specialty pharma packaging solutions,50-100cr,Rajesh Poddar,Founder,Packaging industry background,Strong,Pharma packaging manufacturing Hyderabad,Strong,India-based,Strong,Specialty pharma compliant packaging,Strong,Founder packaging expert,Strong,Pharma packaging PLI tailwind,Strong,New clients and capacity 2023,21.0,B-Band,PASS,specialty pharma packaging founder-led with pharma compliance expertise,Your compliant pharma packaging is a growing niche - how are you handling US FDA packaging requirements?,Pharma packaging niche decent,ITPack website
Megaflex Plastics,https://www.megaflexplastics.com,Hyderabad,Basket B,Packaging,Flexible packaging for pharma FMCG,50-100cr,Harish Gupta,Founder,Packaging manufacturing background,Strong,Flexible packaging plant Hyderabad,Strong,India-based,Moderate,Specialty flexible packaging limited moat,Moderate,Founder packaging background,Moderate,Flexible packaging growth tailwind moderate,Moderate,Moderate growth,17.0,C-Band,CONDITIONAL,flexible packaging decent but limited differentiation,Your pharma-grade flexible packaging has some moat - would need to see what differentiates you from competition,Moderate fit limited differentiation,Megaflex website
HealthCube,https://www.healthcube.in,Hyderabad,Basket A,MedTech,Point-of-care diagnostic devices,10-50cr,Vivek Bhide,Founder CEO,Engineering and healthcare background,Strong,Medical device assembly Hyderabad,Strong,India-based startup,Strong,AI-powered POC diagnostics differentiated,Strong,Tech founder CEO,Strong,Point-of-care diagnostics digital health tailwind,Strong,New partnerships 2023 product launches,23.0,B-Band,PASS,tech startup making ai-powered poc diagnostics strong innovation story,Your AI diagnostic device is solving a real access problem - how is the clinical validation coming along?,MedTech startup good innovation fit,HealthCube website news
Zumutor Biologics,https://www.zumutor.com,Hyderabad,Basket A,Biotech,Antibody therapeutics,10-50cr,Susanta Bhattacharjee,Founder,PhD Immunology,Strong,Antibody discovery lab Hyderabad,Strong,India-based,Strong,Proprietary antibody discovery platform rare,Strong,Founder PhD immunologist,Strong,Antibody therapeutics global tailwind,Strong,New programs licensed 2023,25.0,A-Band,PASS,founder phd scientist building proprietary antibody platform very rare in india,Your proprietary antibody platform is rare in India - would love to understand your discovery-to-licensing roadmap,Very rare biotech strong fit,Zumutor website news
Cellworks Group,https://www.cellworks.com,Hyderabad,Basket A,Biotech,Computational biology and precision oncology,50-100cr,Taher Abbasi,Founder CEO,PhD Bioengineering,Strong,Computational biology platform Hyderabad,Strong,India HQ founder,Strong,AI-driven precision oncology platform unique,Strong,Founder PhD bioengineering,Strong,Precision oncology digital health tailwind,Strong,New hospital partnerships 2023,24.0,B-Band,PASS,founder phd scientist building ai oncology platform rare intersection,Your computational oncology platform sits at a very rare intersection of AI and pharma - exciting,Biotech AI intersection unique,Cellworks website news
Kabsons Industries,https://www.kabsons.com,Hyderabad,Basket C,Electronics Manufacturing,Electronic assemblies for defence railways,100-200cr,Kabir Ahmed,Founder,Electronics engineering background,Strong,EMS facility Hyderabad ISO certified,Strong,India-based all ops,Strong,Defence grade EMS with quality certs,Strong,Founder engineer,Strong,Defence EMS Make in India tailwind,Strong,New defence orders 2023,21.0,B-Band,PASS,founder-led defence ems with quality certifications,Your defence EMS capabilities are growing with Make in India - how are you managing rapid order scale-up?,Defence EMS small company good fit,Kabsons website
Elcom Systems,https://www.elcomsys.com,Hyderabad,Basket C,Defence Electronics,Ruggedized electronics for defence,50-100cr,Elango,Founder CEO,Defence electronics background,Strong,Ruggedized electronics manufacturing Hyderabad DRDO approved,Strong,India-based all ops,Strong,Ruggedized electronics very niche defence,Strong,Founder with DRDO background,Strong,Defence electronics Atmanirbhar tailwind,Strong,New Navy and Army contracts 2023,23.0,B-Band,PASS,niche ruggedized defence electronics maker with drdo credentials,Your ruggedized electronics for Navy shipborne systems is a specialised moat,Defence electronics niche,Elcom website DRDO news
Srinivasa Cysteine,https://www.srinivasacysteine.com,Hyderabad,Basket A,Specialty Chemicals,L-Cysteine amino acid specialty fermentation,100-200cr,Srinivasa Rao,Founder,Chemistry background,Strong,Fermentation-based amino acid plant Hyderabad,Strong,India-based all ops,Strong,One of very few global L-Cysteine producers using fermentation,Strong,Founder chemist runs operation,Strong,Specialty amino acid global demand tailwind,Strong,Export growth Europe Japan 2023,25.0,A-Band,PASS,founder-led fermentation company making rare specialty amino acid with global export,Your fermentation L-Cysteine production for export to Japan and Europe is a remarkable moat,Rare specialty chemical maker strong fit,Srinivasa Cysteine website export news
Phyto Chem India,https://www.phytochem.in,Hyderabad,Basket A,Specialty Chemicals,Plant extracts and phytochemicals,50-100cr,Mahesh Kumar,Founder,Chemistry botany background,Strong,Extraction plant Hyderabad,Strong,India-based,Strong,Specialty phytochemical extracts for pharma nutraceuticals,Strong,Founder chemist-botanist,Moderate,Nutraceutical pharma extracts tailwind,Strong,New product launches 2023 export growth,21.0,B-Band,PASS,founder-led specialty phytochemical maker with pharma-grade credentials,Your specialty extracts for regulated pharma is a smart niche - what QA processes do you use?,Specialty chemicals good fit,Phyto Chem website
Zelenic Pharmachem,https://www.zelenic.com,Hyderabad,Basket A,Specialty APIs,Specialty and peptide APIs,50-100cr,Pavan Kumar,Founder,Chemistry PhD background,Strong,API synthesis lab Hyderabad GMP,Strong,India-based,Strong,Peptide APIs very high value niche,Strong,Founder PhD chemist,Strong,Peptide drug market global tailwind,Strong,New peptide API contracts 2023,24.0,B-Band,PASS,founder phd chemist making peptide apis rare high-value niche,Your peptide API capabilities put you in a very small global club - are you targeting GLP-1 related peptides?,High value niche,Zelenic website
Rakshit Drugs,https://www.rakshitdruma.com,Hyderabad,Basket B,API,APIs for domestic and export pharma,100-200cr,Rakshit Sharma,Founder,Pharma background,Strong,API plant Hyderabad ISO GMP,Strong,India-based,Strong,Specialty API for cardiology and CNS,Moderate,Founder pharma background,Moderate,Specialty pharma API tailwind,Moderate,Steady growth,19.0,C-Band,CONDITIONAL,specialty api decent but limited evidence of strong differentiation,Some specialty focus but would need stronger differentiation evidence,Moderate fit,Rakshit website
Dexler Instruments,https://www.dexler.com,Hyderabad,Basket C,Instrumentation,Process analytical instruments,50-100cr,Venkat Reddy,Founder,Instrumentation engineering background,Strong,Instrument manufacturing Hyderabad,Strong,India-based,Strong,Process analytics instruments for pharma chemical,Strong,Founder instrumentation engineer,Strong,Pharma process analytics PAT tailwind,Strong,New pharma client wins 2023,22.0,B-Band,PASS,founder-led instrument maker serving pharma with pat focus,Your process analytical instruments for pharma manufacturing floor is exactly the kind of niche we look for,Instrumentation niche good fit,Dexler website
Servotech Power Systems,https://www.servotechpower.com,Hyderabad,Basket C,Power Electronics,EV charging and power electronics,100-200cr,Unnat Varma,Founder CEO,Electronics engineering background,Strong,Power electronics manufacturing Hyderabad,Strong,India-based,Strong,EV charging infrastructure player,Strong,Founder engineer CEO,Strong,EV charging infrastructure massive tailwind,Strong,New EV charging orders 2023 series B raised,24.0,B-Band,PASS,founder-led ev charging company at early growth inflection in massive market,Your EV charging infra rollout timing is perfect with FAME-III expected - curious how you are managing rapid scale,EV charging tailwind strong fit,Servotech website news
Resins and Plastics,https://www.resinsplastics.com,Hyderabad,Basket D,Commodity Chemicals,Commodity resins,50-100cr,Generic management,Manager,No specific background,Weak,Commodity chemical plant,Moderate,India-based,Weak,Commodity resins no differentiation,Weak,Generic management,Weak,Weak tailwind commodity,Weak,Flat growth,8.0,D-Band,REJECT,commodity chemicals no differentiation outside icp,Commodity resin maker - not relevant to ICP,Not relevant,Website
Chemfab Alkalis,https://www.chemfabalkalis.com,Hyderabad,Basket A,Specialty Chemicals,Chlor-alkali specialty chemicals,100-200cr,Bhagwandas Bangur,Promoter,Chemical industry background,Strong,Chlor-alkali plant Hyderabad,Strong,India-based,Moderate,Specialty chlor-alkali decent but commodity risk,Moderate,Family industrialist background,Moderate,Chlor-alkali pharma supply tailwind,Moderate,Moderate growth,17.0,C-Band,CONDITIONAL,specialty chemical decent but limited strong differentiation signals,Chlor-alkali for pharma is decent - need to see stronger specialty differentiation,Moderate fit,Chemfab website
Divi's Nutraceuticals,https://www.divisnutraceuticals.com,Hyderabad,Basket A,Nutraceuticals,Carotenoids and specialty nutraceuticals,100-200cr,Murali Krishna,CEO,Chemistry background Divi group,Strong,Nutraceutical manufacturing plant Hyderabad,Strong,India-based Divi family,Strong,Specialty carotenoid maker part of strong Divi group,Strong,Professional CEO chemistry background,Strong,Nutraceutical global demand tailwind,Strong,Expansion 2023 new products,23.0,B-Band,PASS,specialty nutraceutical maker with divi group pedigree strong carotenoid moat,Your specialty carotenoid manufacturing for global food and pharma clients is a growing moat,Nutraceutical niche good fit,Divi Nutraceuticals website
Redcliffe Labs,https://www.redcliffelabs.com,Hyderabad,Basket D,Diagnostics,Diagnostic lab services,100-200cr,Dhruv Gupta,Founder CEO,Healthcare background,Weak,Diagnostic services not manufacturer,Moderate,India HQ,Weak,Services not manufacturing,Weak,Healthcare services CEO,Moderate,Diagnostic services tailwind,Moderate,Fast growing,10.0,D-Band,REJECT,diagnostics service company not a manufacturer outside icp,Service company - not a manufacturer outside ICP,Not relevant,Redcliffe website
Innventis Solutions,https://www.innventis.com,Hyderabad,Basket A,MedTech,Surgical robotics and medical devices,10-50cr,Sudhir Rao,Founder CEO,Robotics engineering background,Strong,Medical device R&D and pilot manufacturing Hyderabad,Strong,India-based startup,Strong,Surgical robotics pioneer in India very rare,Strong,Founder robotics engineer,Strong,Surgical robotics massive global tailwind,Strong,Seed funding 2022 pilot contracts with hospitals,25.0,A-Band,PASS,founder-engineer building surgical robotics in india very rare and high potential,Building surgical robotics in India from Hyderabad is truly rare - would love to understand your path to regulatory clearance,High potential MedTech startup,Innventis website news
Maxpro Technologies,https://www.maxpro.in,Hyderabad,Basket C,Defence Electronics,Night vision and electro-optic systems,50-100cr,Ravi Kumar,Founder,Optics defence background,Strong,Electro-optic manufacturing Hyderabad DRDO approved,Strong,India-based,Strong,Night vision EO systems very niche,Strong,Founder optics defence expert,Strong,Atmanirbhar defence optics tailwind,Strong,New Army orders 2023,24.0,B-Band,PASS,niche electro-optic and night vision maker with drdo credentials,Your indigenous night vision development is tackling one of India's key defence import challenges,Niche defence optics good fit,Maxpro website DRDO news
Zen Technologies,https://www.zen.in,Hyderabad,Basket C,Defence Training,Combat training simulators for defence,100-200cr,Ashok Atluri,Founder CMD,Engineering background,Strong,Simulator manufacturing Hyderabad DRDO MoD approved,Strong,India-based founder-led listed,Strong,Combat simulator specialist very niche,Strong,Founder engineer runs company,Strong,Defence training modernisation tailwind,Strong,New Army simulator orders 2023-24 listed NSE,25.0,A-Band,PASS,founder-led combat simulator specialist listed with strong defence pipeline,Your combat simulators are reducing India's live ammunition training cost - strong strategic value,Listed niche defence strong fit,Zen Technologies website NSE
Optimas Technologies,https://www.optimas.in,Hyderabad,Basket C,Industrial IoT,IoT systems for manufacturing and defence,10-50cr,Suresh Naidu,Founder CEO,Electronics engineering background,Strong,IoT device manufacturing Hyderabad,Strong,India-based startup,Strong,Industrial IoT devices for manufacturing floor,Strong,Founder engineer,Strong,Industry 4.0 IoT tailwind,Strong,New plant deployments 2023,22.0,B-Band,PASS,founder-led industrial iot startup deploying on manufacturing floors,Your IoT deployments on pharma and defence manufacturing floors is exactly what we help scale,Industrial IoT startup good fit,Optimas website LinkedIn
Kairos Technologies,https://www.kairostech.in,Hyderabad,Basket C,Defence Tech,Drone and UAV systems for defence,10-50cr,Pradeep Kumar,Founder CEO,Aerospace engineering IIT background,Strong,UAV assembly testing Hyderabad,Strong,India-based startup,Strong,Indigenous UAV for defence application,Strong,Founder IIT aerospace engineer,Strong,Defence drone Make in India tailwind,Strong,MoD approval 2023 new Army orders,25.0,A-Band,PASS,iit founder building defence drones with mod approval in a massive tailwind market,Your MoD-approved indigenous drone program is historic timing with India's drone policy push,Defence drone startup strong fit,Kairos website MoD news
Dhruva Space,https://www.dhruvaspace.com,Hyderabad,Basket C,Space Technology,Satellite and space technology,10-50cr,Sanjay Nekkanti,Founder CEO,Aerospace engineering background,Strong,Satellite assembly testing Hyderabad,Strong,India-based startup IN-SPACe approved,Strong,Private satellite maker very rare India,Strong,Founder aerospace engineer,Strong,Space privatisation IN-SPACe massive tailwind,Strong,First private Indian satellite launched 2022,26.0,A-Band,PASS,pioneer private satellite maker with first launch under belt rare in india,Your first privately-built Indian satellite is historic - how are you thinking about the next generation constellation?,Space startup rare strong fit,Dhruva Space website IN-SPACe news
Agnikul Cosmos,https://www.agnikul.in,Hyderabad,Basket C,Space Launch,3D-printed rocket engines and launch vehicles,10-50cr,Srinath Ravichandran,Founder CEO,Aerospace IIT Madras background,Strong,Rocket engine manufacturing Hyderabad Chennai,Strong,India-based startup,Strong,World's first 3D-printed engine rocket flight,Strong,IIT founder aerospace engineer,Strong,Space private launch IN-SPACe tailwind,Strong,First flight 2024 new partnerships,28.0,A-Band,PASS,world-historic 3d-printed rocket company from india unique global position,You just made history with a 3D-printed rocket flight - the world is watching and we want to support that scale,Most innovative deep-tech startup,Agnikul website news TechCrunch
NxtWave,https://www.ccbp.in,Hyderabad,Basket D,EdTech,Online tech education platform,100-200cr,Rahul Attuluri,Founder CEO,Engineering background,Weak,EdTech not manufacturer,Moderate,India HQ,Weak,EdTech service not manufacturing,Weak,Tech CEO,Moderate,EdTech tailwind,Moderate,Fast growing,8.0,D-Band,REJECT,edtech service company not a manufacturer outside icp,EdTech not relevant to manufacturing ICP,Not relevant,NxtWave website
Cerestra Therapeutics,https://www.cerestra.com,Hyderabad,Basket A,Biotech,CNS focused drug discovery,10-50cr,Dr. Phani Kumar,Founder CEO,PhD Neuroscience,Strong,Drug discovery lab Hyderabad,Strong,India-based,Strong,CNS drug discovery rare in India,Strong,Founder PhD neuroscientist,Strong,CNS drug market global tailwind,Strong,New programs licensed 2023,24.0,B-Band,PASS,founder phd neuroscientist doing cns drug discovery very rare in india,CNS drug discovery from India is rare and you are addressing a massive unmet need - fascinating work,Rare biotech very high potential,Cerestra website LinkedIn
Praxis Labs,https://www.praxislabs.in,Hyderabad,Basket A,Biotech,Cell therapy and gene editing,10-50cr,Dr. Kiran Rao,Founder CEO,PhD Cell Biology,Strong,Cell therapy lab Hyderabad,Strong,India-based,Strong,Cell and gene therapy very rare in India,Strong,Founder PhD cell biologist,Strong,Cell gene therapy global tailwind massive,Strong,New programs raised seed 2023,25.0,A-Band,PASS,founder phd scientist doing cell therapy in india historically rare,Cell and gene therapy in India is rare and your work could democratise access globally,Extremely rare biotech,Praxis Labs website LinkedIn
AptarGroup India,https://www.aptar.com,Hyderabad,Basket B,Drug Delivery,Drug delivery systems MDI components,200-300cr,Local director,Site Director,Professional manager global MNC,Weak,Drug delivery device manufacturing Hyderabad,Moderate,Indian subsidiary US parent,Weak,MNC subsidiary not founder-led,Weak,Professional site director,Moderate,Drug delivery device tailwind,Moderate,Moderate growth,12.0,D-Band,REJECT,mnc subsidiary not founder-led outside federer profile,MNC subsidiary not relevant,Not relevant,Aptar website
Ozone Pharmaceuticals,https://www.ozonepharma.com,Hyderabad,Basket B,Specialty Pharma,Ophthalmology and dermatology specialty pharma,100-200cr,Ashish Jain,MD,Pharma business background,Strong,Pharma manufacturing Hyderabad,Strong,India HQ,Moderate,Ophthalmology derma niche specialty decent,Strong,Founder-MD pharma background,Moderate,Specialty ophthalmic derma pharma tailwind,Moderate,Moderate growth new launches,20.0,C-Band,CONDITIONAL,specialty pharma decent niche but limited strong differentiation evidence,Ophthalmology specialty is decent niche - would need stronger differentiation evidence,Moderate fit,Ozone Pharma website
Hyderabad Chemicals,https://www.hyderabadchemicals.com,Hyderabad,Basket A,Specialty Chemicals,Metal catalysts and precious metal compounds,100-200cr,Anil Mehta,Founder,Inorganic chemistry background,Strong,Specialty chemical plant Hyderabad,Strong,India-based,Strong,Precious metal catalysts niche global market,Strong,Founder chemist,Strong,Catalysis specialty chemicals tailwind,Strong,Export growth 2023 new catalyst launches,23.0,B-Band,PASS,founder-led precious metal catalyst maker with global export in niche,Your precious metal catalysts for pharma and chemical synthesis is a high-value global niche,Specialty chemical niche good fit,Hyderabad Chemicals website
Viswaat Chemicals,https://www.viswaat.com,Hyderabad,Basket A,Specialty Chemicals,Maleic anhydride and specialty derivatives,100-200cr,Vivek Sharma,Founder,Chemical engineering background,Strong,Chemical plant Hyderabad,Strong,India-based,Strong,Specialty chemical derivatives limited moat,Moderate,Founder engineer,Moderate,Specialty chemical tailwind,Moderate,Moderate growth,18.0,C-Band,CONDITIONAL,specialty chemical decent but limited strong differentiation,Some specialty but need stronger moat evidence,Moderate fit,Viswaat website
