Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Bhagyanagar Gas,https://www.bgl.co.in,Hyderabad,Basket D,Gas Distribution,City gas distribution,500-1000cr,Ravi Shankar,MD,Engineering background,Weak,Gas distribution utility not manufacturer,Strong,India HQ,Weak,Utility service not manufacturing,Weak,Utility manager,Moderate,Natural gas infra tailwind,Moderate,Moderate growth,10.0,D-Band,REJECT,utility company not a manufacturer outside icp,Gas distribution utility - not relevant to ICP,Not relevant,BGL website
Innovative Tech Pack,https://www.itpack.in,Hyderabad,Basket B,Packaging,Specialty pharma packaging solutions,50-100cr,Rajesh Poddar,Founder,Packaging industry background,Strong,Pharma packaging manufacturing Hyderabad,Strong,India-based,Strong,Specialty pharma compliant packaging,Strong,Founder packaging expert,Strong,Pharma packaging PLI tailwind,Strong,New clients and capacity 2023,21.0,B-Band,PASS,specialty pharma packaging founder-led with pharma compliance expertise,Your compliant pharma packaging is a growing niche - how are you handling US FDA packaging requirements?,Pharma packaging niche decent,ITPack website
Megaflex Plastics,https://www.megaflexplastics.com,Hyderabad,Basket B,Packaging,Flexible packaging for pharma FMCG,50-100cr,Harish Gupta,Founder,Packaging manufacturing background,Strong,Flexible packaging plant Hyderabad,Strong,India-based,Moderate,Specialty flexible packaging limited moat,Moderate,Founder packaging background,Moderate,Flexible packaging growth tailwind moderate,Moderate,Moderate growth,17.0,C-Band,CONDITIONAL,flexible packaging decent but limited differentiation,Your pharma-grade flexible packaging has some moat - would need to see what differentiates you from competition,Moderate fit limited differentiation,Megaflex website
Shalina Healthcare,https://www.shalinarealty.com,Hyderabad,Basket D,Real Estate,Real estate development,1000cr+,Rajesh Agarwal,CMD,Real estate background,Weak,Real estate not manufacturer,Moderate,India HQ,Weak,Real estate not relevant,Weak,Real estate developer,Weak,Real estate market tailwind,Moderate,Moderate growth,8.0,D-Band,REJECT,real estate company completely outside icp,Not a manufacturer - completely outside our ICP,Completely irrelevant,Website
Deccan Cements,https://deccancements.com,Hyderabad,Basket D,Cement,Cement manufacturing,500-1000cr,P.V. Ratnam,MD,Cement industry background,Moderate,Cement manufacturing Hyderabad region,Strong,India-based,Weak,Commodity cement no differentiation,Weak,Traditional industrialist,Weak,Infrastructure tailwind,Moderate,Moderate growth,11.0,D-Band,REJECT,commodity cement manufacturer no differentiation outside icp,Commodity manufacturer outside our ICP,Not relevant,Deccan Cements website
HealthCube,https://www.healthcube.in,Hyderabad,Basket A,MedTech,Point-of-care diagnostic devices,10-50cr,Vivek Bhide,Founder CEO,Engineering and healthcare background,Strong,Medical device assembly Hyderabad,Strong,India-based startup,Strong,AI-powered POC diagnostics differentiated,Strong,Tech founder CEO,Strong,Point-of-care diagnostics digital health tailwind,Strong,New partnerships 2023 product launches,23.0,B-Band,PASS,tech startup making ai-powered poc diagnostics strong innovation story,Your AI diagnostic device is solving a real access problem - how is the clinical validation coming along?,MedTech startup good innovation fit,HealthCube website news
Kabsons Industries,https://www.kabsons.com,Hyderabad,Basket C,Electronics Manufacturing,Electronic assemblies for defence railways,100-200cr,Kabir Ahmed,Founder,Electronics engineering background,Strong,EMS facility Hyderabad ISO certified,Strong,India-based all ops,Strong,Defence grade EMS with quality certs,Strong,Founder engineer,Strong,Defence EMS Make in India tailwind,Strong,New defence orders 2023,21.0,B-Band,PASS,founder-led defence ems with quality certifications,Your defence EMS capabilities are growing with Make in India - how are you managing rapid order scale-up?,Defence EMS small company good fit,Kabsons website
Elcom Systems,https://www.elcomsys.com,Hyderabad,Basket C,Defence Electronics,Ruggedized electronics for defence,50-100cr,Elango,Founder CEO,Defence electronics background,Strong,Ruggedized electronics manufacturing Hyderabad DRDO approved,Strong,India-based all ops,Strong,Ruggedized electronics very niche defence,Strong,Founder with DRDO background,Strong,Defence electronics Atmanirbhar tailwind,Strong,New Navy and Army contracts 2023,23.0,B-Band,PASS,niche ruggedized defence electronics maker with drdo credentials,Your ruggedized electronics for Navy shipborne systems is a specialised moat,Defence electronics niche,Elcom website DRDO news
Phyto Chem India,https://www.phytochem.in,Hyderabad,Basket A,Specialty Chemicals,Plant extracts and phytochemicals,50-100cr,Mahesh Kumar,Founder,Chemistry botany background,Strong,Extraction plant Hyderabad,Strong,India-based,Strong,Specialty phytochemical extracts for pharma nutraceuticals,Strong,Founder chemist-botanist,Moderate,Nutraceutical pharma extracts tailwind,Strong,New product launches 2023 export growth,21.0,B-Band,PASS,founder-led specialty phytochemical maker with pharma-grade credentials,Your specialty extracts for regulated pharma is a smart niche - what QA processes do you use?,Specialty chemicals good fit,Phyto Chem website
Rakshit Drugs,https://www.rakshitdruma.com,Hyderabad,Basket B,API,APIs for domestic and export pharma,100-200cr,Rakshit Sharma,Founder,Pharma background,Strong,API plant Hyderabad ISO GMP,Strong,India-based,Strong,Specialty API for cardiology and CNS,Moderate,Founder pharma background,Moderate,Specialty pharma API tailwind,Moderate,Steady growth,19.0,C-Band,CONDITIONAL,specialty api decent but limited evidence of strong differentiation,Some specialty focus but would need stronger differentiation evidence,Moderate fit,Rakshit website
Dexler Instruments,https://www.dexler.com,Hyderabad,Basket C,Instrumentation,Process analytical instruments,50-100cr,Venkat Reddy,Founder,Instrumentation engineering background,Strong,Instrument manufacturing Hyderabad,Strong,India-based,Strong,Process analytics instruments for pharma chemical,Strong,Founder instrumentation engineer,Strong,Pharma process analytics PAT tailwind,Strong,New pharma client wins 2023,22.0,B-Band,PASS,founder-led instrument maker serving pharma with pat focus,Your process analytical instruments for pharma manufacturing floor is exactly the kind of niche we look for,Instrumentation niche good fit,Dexler website
Ion Exchange India,https://www.ionindia.com,Hyderabad,Basket A,Specialty Chemicals,Ion exchange resins and water treatment,500-1000cr,Dinesh Modi,CMD,Chemical engineering background,Strong,Chemical manufacturing Hyderabad and other sites,Strong,India HQ,Strong,Leading ion exchange resin maker with water tech,Moderate,Professional CMD chemical background,Strong,Water treatment specialty chemicals tailwind,Moderate,Steady growth,20.0,C-Band,CONDITIONAL,good specialty chemical maker but large and professionally managed,Your water treatment chemicals reach industries we work with - curious about your newer specialty resin lines,Large professional management partial fit,Ion Exchange website NSE
Sudarshan Chemical Industries,https://www.sudarshan.com,Hyderabad,Basket A,Specialty Chemicals,Pigments and performance materials,1000cr+,Rajesh Rathi,MD,Chemistry background professional,Strong,Pigment manufacturing Hyderabad Pune,Strong,India HQ,Strong,Leading specialty pigment maker complex chemistry,Strong,Professional MD chemistry background,Strong,Specialty pigments coatings tailwind,Moderate,Steady growth brownfield expansion,21.0,B-Band,PASS,strong specialty pigment maker with complex chemistry moat,Your specialty pigment portfolio for automotive coatings is strong - how are you managing the shift to waterborne coatings?,Specialty chemical strong fit,Sudarshan website NSE
Resins and Plastics,https://www.resinsplastics.com,Hyderabad,Basket D,Commodity Chemicals,Commodity resins,50-100cr,Generic management,Manager,No specific background,Weak,Commodity chemical plant,Moderate,India-based,Weak,Commodity resins no differentiation,Weak,Generic management,Weak,Weak tailwind commodity,Weak,Flat growth,8.0,D-Band,REJECT,commodity chemicals no differentiation outside icp,Commodity resin maker - not relevant to ICP,Not relevant,Website
Bharat Electronics Limited BEL Hyderabad,https://www.bel-india.in,Hyderabad,Basket C,Defence Electronics,Radar sonar electronic warfare systems,15000cr+,Bhanu Prakash Srivastava,CMD,IES officer technical background,Moderate,Large electronics manufacturing Hyderabad PSU,Strong,India-based,Strong,Dominant Indian defence electronics maker,Moderate,PSU CMD bureaucratic background,Strong,Defence electronics massive Atmanirbhar tailwind,Moderate,Steady PSU growth,18.0,C-Band,CONDITIONAL,psu with strategic moat but bureaucratic management and scale too large,Scale is too large and PSU management not ideal but strategic moat exists,PSU too large partial fit,BEL website annual report
Chemfab Alkalis,https://www.chemfabalkalis.com,Hyderabad,Basket A,Specialty Chemicals,Chlor-alkali specialty chemicals,100-200cr,Bhagwandas Bangur,Promoter,Chemical industry background,Strong,Chlor-alkali plant Hyderabad,Strong,India-based,Moderate,Specialty chlor-alkali decent but commodity risk,Moderate,Family industrialist background,Moderate,Chlor-alkali pharma supply tailwind,Moderate,Moderate growth,17.0,C-Band,CONDITIONAL,specialty chemical decent but limited strong differentiation signals,Chlor-alkali for pharma is decent - need to see stronger specialty differentiation,Moderate fit,Chemfab website
Divi's Nutraceuticals,https://www.divisnutraceuticals.com,Hyderabad,Basket A,Nutraceuticals,Carotenoids and specialty nutraceuticals,100-200cr,Murali Krishna,CEO,Chemistry background Divi group,Strong,Nutraceutical manufacturing plant Hyderabad,Strong,India-based Divi family,Strong,Specialty carotenoid maker part of strong Divi group,Strong,Professional CEO chemistry background,Strong,Nutraceutical global demand tailwind,Strong,Expansion 2023 new products,23.0,B-Band,PASS,specialty nutraceutical maker with divi group pedigree strong carotenoid moat,Your specialty carotenoid manufacturing for global food and pharma clients is a growing moat,Nutraceutical niche good fit,Divi Nutraceuticals website
Biocon,https://www.biocon.com,Hyderabad,Basket A,Biotech,Biosimilars and biologics,5000cr+,Kiran Mazumdar Shaw,Founder CMD,Biochemistry founder,Strong,Biologics and biosimilar manufacturing Bangalore Hyderabad,Strong,India HQ founder,Strong,Largest Indian biosimilar maker global presence,Moderate,Founder biochemist globally recognised,Strong,Biosimilar global tailwind massive,Moderate,Large but steady growth,20.0,C-Band,CONDITIONAL,too large for our typical profile but founder-led biosimilar pioneer,Scale is too large but Kiran Mazumdar Shaw is legendary - conditional only due to size,Large founder-led partial fit,Biocon website NSE
Redcliffe Labs,https://www.redcliffelabs.com,Hyderabad,Basket D,Diagnostics,Diagnostic lab services,100-200cr,Dhruv Gupta,Founder CEO,Healthcare background,Weak,Diagnostic services not manufacturer,Moderate,India HQ,Weak,Services not manufacturing,Weak,Healthcare services CEO,Moderate,Diagnostic services tailwind,Moderate,Fast growing,10.0,D-Band,REJECT,diagnostics service company not a manufacturer outside icp,Service company - not a manufacturer outside ICP,Not relevant,Redcliffe website
Sansera Engineering,https://www.sansera.com,Hyderabad,Basket C,Precision Engineering,Forged components for aerospace automotive,1000-2000cr,Unni Krishnan,MD,Engineering background professional,Strong,Precision forging plants Hyderabad Bangalore,Strong,India HQ listed,Strong,Complex forged components aerospace grade,Strong,Professional MD engineering background,Moderate,Aerospace automotive India exports tailwind,Strong,New aerospace supply wins 2023 listed NSE,21.0,B-Band,PASS,precision forging company with aerospace export credentials listed nse,Your aerospace forged components reaching global OEMs from Hyderabad is a strong story,Listed precision engineering good fit,Sansera website NSE
Optiemus Electronics,https://www.optiemus.com,Hyderabad,Basket C,Electronics Manufacturing,Mobile devices and electronics assemblies,500-1000cr,Ashok Gupta,CMD,Electronics trading and manufacturing,Moderate,Electronics assembly Hyderabad and Noida,Strong,India-based,Moderate,EMS but largely assembly limited deep tech,Moderate,Business background not tech founder,Moderate,PLI electronics manufacturing tailwind,Moderate,New contracts 2023,16.0,D-Band,REJECT,ems but assembly-heavy limited differentiation not a strong federer fit,Assembly-heavy EMS without deep tech differentiation,Limited fit,Optiemus website
Midhani,https://www.midhani-india.in,Hyderabad,Basket C,Advanced Materials,Superalloys titanium and special steels,500-1000cr,Sanjay Kumar Jha,CMD,IES government officer background,Moderate,Advanced materials plant Hyderabad,Strong,India-based PSU,Strong,Only Indian maker of superalloys titanium for ISRO DRDO,Strong,PSU CMD bureaucratic background,Moderate,Space defence advanced materials tailwind,Strong,New ISRO and DRDO contracts 2023,21.0,B-Band,CONDITIONAL,psu but irreplaceable advanced materials manufacturer unique moat,Your titanium and superalloy supply to ISRO and DRDO is truly strategic - very few alternatives exist globally,PSU but unique materials moat,Midhani website ISRO DRDO news
Optimas Technologies,https://www.optimas.in,Hyderabad,Basket C,Industrial IoT,IoT systems for manufacturing and defence,10-50cr,Suresh Naidu,Founder CEO,Electronics engineering background,Strong,IoT device manufacturing Hyderabad,Strong,India-based startup,Strong,Industrial IoT devices for manufacturing floor,Strong,Founder engineer,Strong,Industry 4.0 IoT tailwind,Strong,New plant deployments 2023,22.0,B-Band,PASS,founder-led industrial iot startup deploying on manufacturing floors,Your IoT deployments on pharma and defence manufacturing floors is exactly what we help scale,Industrial IoT startup good fit,Optimas website LinkedIn
